YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,DEW_2,TMP_2,RH,AT mean,AT max
1/2/1990,CA MAU,9.1833333,105.15,1990,1,2,21.76,24.46,84.93546494,21.993168,25.80309
1/3/1990,CA MAU,9.1833333,105.15,1990,1,3,21.525,23.775,87.23750256,21.3086825,22.42961
1/4/1990,CA MAU,9.1833333,105.15,1990,1,4,20.9,23.68,84.4376027,21.20469,22.82415
1/5/1990,CA MAU,9.1833333,105.15,1990,1,5,22.15714286,25.7,80.82037882,23.23180429,26.50195
1/6/1990,CA MAU,9.1833333,105.15,1990,1,6,20.73333333,25.05,76.99087622,22.56392,26.07528
1/7/1990,CA MAU,9.1833333,105.15,1990,1,7,21.4,23.5,88.01831584,21.03342,22.33939
1/8/1990,CA MAU,9.1833333,105.15,1990,1,8,22.26,26.46,77.7533392,23.988818,27.19775
1/9/1990,CA MAU,9.1833333,105.15,1990,1,9,23.02,26.16,82.87853566,23.702246,28.02508
1/10/1990,CA MAU,9.1833333,105.15,1990,1,10,22.7125,26.025,82.00093506,23.56335125,28.00978
1/11/1990,CA MAU,9.1833333,105.15,1990,1,11,22.46,24.9,86.33590392,22.441238,24.21116
1/12/1990,CA MAU,9.1833333,105.15,1990,1,12,21.9,27.43333333,71.83727735,24.95080333,27.9853
1/13/1990,CA MAU,9.1833333,105.15,1990,1,13,22.5,24.3,89.7076693,21.84545,21.84545
1/14/1990,CA MAU,9.1833333,105.15,1990,1,14,22.3,27.6,72.89528291,25.12259,26.6243
1/15/1990,CA MAU,9.1833333,105.15,1990,1,15,22.675,24,92.31264834,21.5499275,23.04284
1/16/1990,CA MAU,9.1833333,105.15,1990,1,16,20.2875,24.7875,76.08509047,22.29617375,28.07246
1/17/1990,CA MAU,9.1833333,105.15,1990,1,17,21.65,26.2,76.07200816,23.721045,27.00354
1/18/1990,CA MAU,9.1833333,105.15,1990,1,18,22.12857143,25.17142857,83.25441337,22.70596714,27.40114
1/19/1990,CA MAU,9.1833333,105.15,1990,1,19,21.91428571,25.72857143,79.49780198,23.25648857,27.19622
1/20/1990,CA MAU,9.1833333,105.15,1990,1,20,21,25,78.49764722,22.5183,23.89766
1/21/1990,CA MAU,9.1833333,105.15,1990,1,21,18.53333333,28.7,54.18930258,26.15836,27.92869
1/22/1990,CA MAU,9.1833333,105.15,1990,1,22,20.28,26.48,68.78275099,23.978404,29.13832
1/23/1990,CA MAU,9.1833333,105.15,1990,1,23,20.98333333,24.63333333,80.15289135,22.15357833,25.98659
1/24/1990,CA MAU,9.1833333,105.15,1990,1,24,20.74,26.28,71.60208988,23.786642,27.97918
1/25/1990,CA MAU,9.1833333,105.15,1990,1,25,21.28,25.4,77.97910812,22.920184,26.7772
1/26/1990,CA MAU,9.1833333,105.15,1990,1,26,21,25.38,76.74162872,22.89602,26.98518
1/27/1990,CA MAU,9.1833333,105.15,1990,1,27,21.2625,25.4625,77.60667869,22.98204125,26.96682
1/28/1990,CA MAU,9.1833333,105.15,1990,1,28,20.78333333,25.53333333,75.0391431,23.04511833,27.37513
1/29/1990,CA MAU,9.1833333,105.15,1990,1,29,22.02,25.6,80.62471419,23.130306,27.74983
1/30/1990,CA MAU,9.1833333,105.15,1990,1,30,21.68571429,26.08571429,76.75510513,23.60799143,27.58464
1/31/1990,CA MAU,9.1833333,105.15,1990,1,31,22.05,26.1125,78.35674423,23.64019,27.60147
2/1/1990,CA MAU,9.1833333,105.15,1990,2,1,21.36666667,26.83333333,72.02415352,24.34624333,27.19316
2/2/1990,CA MAU,9.1833333,105.15,1990,2,2,21.25,28.2,66.01451822,25.702925,28.07246
2/3/1990,CA MAU,9.1833333,105.15,1990,2,3,21.91666667,25.9,78.70569633,23.426925,29.37078
2/4/1990,CA MAU,9.1833333,105.15,1990,2,4,21.5,26.54285714,73.86726236,24.05955,28.97012
2/5/1990,CA MAU,9.1833333,105.15,1990,2,5,20.6875,26.975,68.5081508,24.47666875,28.95635
2/6/1990,CA MAU,9.1833333,105.15,1990,2,6,20.12,27.36,64.67265166,24.850676,29.0634
2/7/1990,CA MAU,9.1833333,105.15,1990,2,7,19.3,28.8,56.51707466,26.26949,28.9487
2/8/1990,CA MAU,9.1833333,105.15,1990,2,8,20.95,25.775,74.73301802,23.287885,26.5784
2/9/1990,CA MAU,9.1833333,105.15,1990,2,9,21.1,28.23333333,65.28289133,25.73376333,28.56181
2/10/1990,CA MAU,9.1833333,105.15,1990,2,10,20.28571429,27.12857143,66.23123113,24.62317143,29.1628
2/11/1990,CA MAU,9.1833333,105.15,1990,2,11,21.65714286,27.18571429,71.8141729,24.70095429,28.58476
2/12/1990,CA MAU,9.1833333,105.15,1990,2,12,21.4,27.21428571,70.57455014,24.72542,29.16739
2/13/1990,CA MAU,9.1833333,105.15,1990,2,13,21.7,26.16666667,76.45534215,23.68867667,26.40255
2/14/1990,CA MAU,9.1833333,105.15,1990,2,14,21.81666667,26.18333333,76.92639308,23.70702833,28.00213
2/15/1990,CA MAU,9.1833333,105.15,1990,2,15,21.65714286,24.97142857,81.8631091,22.49995429,27.18551
2/16/1990,CA MAU,9.1833333,105.15,1990,2,16,22.51666667,25.3,84.59348601,22.839705,29.77144
2/17/1990,CA MAU,9.1833333,105.15,1990,2,17,22.15714286,27.02857143,74.72514311,24.55240429,28.58476
