YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,DEW_2,TMP_2,RH,AT mean,AT max
1/4/1990,LANG SON,21.8333333,106.7666666,1990,1,4,6.5,4,118.9717458,1.42245,1.42245
1/7/1990,LANG SON,21.8333333,106.7666666,1990,1,7,16.8,17.3,96.88345835,14.80024,14.80024
1/29/1990,LANG SON,21.8333333,106.7666666,1990,1,29,8.6,11,85.14464886,8.41258,8.41258
4/6/1990,LANG SON,21.8333333,106.7666666,1990,4,6,6.9,20.7,40.7890789,18.02837,18.02837
4/24/1990,LANG SON,21.8333333,106.7666666,1990,4,24,3.45,15,45.93871545,12.309785,14.11199
5/6/1990,LANG SON,21.8333333,106.7666666,1990,5,6,22.2,30.6,60.91105322,28.10306,28.10306
5/25/1990,LANG SON,21.8333333,106.7666666,1990,5,25,13.5,16.1,84.57518653,13.55695,13.55695
6/15/1990,LANG SON,21.8333333,106.7666666,1990,6,15,23.6,26,86.64855675,23.55208,23.55208
6/22/1990,LANG SON,21.8333333,106.7666666,1990,6,22,22.6,27.2,75.99619656,24.72958,24.72958
7/14/1990,LANG SON,21.8333333,106.7666666,1990,7,14,24.2,26.8,85.68910508,24.35646,24.35646
7/17/1990,LANG SON,21.8333333,106.7666666,1990,7,17,23.8,31,65.58856386,28.52514,28.52514
7/23/1990,LANG SON,21.8333333,106.7666666,1990,7,23,23.3,30.1,67.00519558,27.62289,27.62289
8/4/1990,LANG SON,21.8333333,106.7666666,1990,8,4,22.3,29.9,63.79332675,27.40879,27.40879
8/8/1990,LANG SON,21.8333333,106.7666666,1990,8,8,25.1,29.5,77.26649888,27.05403,27.05403
8/28/1990,LANG SON,21.8333333,106.7666666,1990,8,28,21,25.8,74.85200262,23.3135,23.3135
9/7/1990,LANG SON,21.8333333,106.7666666,1990,9,7,24,30.2,69.49048277,27.733,27.733
9/11/1990,LANG SON,21.8333333,106.7666666,1990,9,11,21.8,26.5,75.42497687,24.02154,25.31374
