YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,TMP_2,DEW_2,RH,AT mean,AT max
4/1/1992,PHU BAI,16.4,107.7,1992,4,1,24.23333333,21.4,84.33333333,21.76235333,23.22634
4/2/1992,PHU BAI,16.4,107.7,1992,4,2,22.46,20.46,88.8,19.985278,21.12823
4/3/1992,PHU BAI,16.4,107.7,1992,4,3,22.45,21.525,94.5,19.9916325,20.95391
4/4/1992,PHU BAI,16.4,107.7,1992,4,4,23.55,22.5,94.0,21.09995,22.05037
4/5/1992,PHU BAI,16.4,107.7,1992,4,5,30.55,24.8,71.5,28.09314,28.2453
4/6/1992,PHU BAI,16.4,107.7,1992,4,6,30.6,23.825,68.75,28.1279225,30.8297
4/7/1992,PHU BAI,16.4,107.7,1992,4,7,25.66666667,23.73333333,89.66666667,23.22278667,26.75124
4/8/1992,PHU BAI,16.4,107.7,1992,4,8,24.96,22.4,86.0,22.49996,24.7357
4/10/1992,PHU BAI,16.4,107.7,1992,4,10,29.375,22.425,69.0,26.8888525,34.69406
4/11/1992,PHU BAI,16.4,107.7,1992,4,11,30.16666667,22.81666667,68.16666667,27.68176167,35.79052
4/12/1992,PHU BAI,16.4,107.7,1992,4,12,25.12,21.32,80.4,22.642476,27.10753
4/13/1992,PHU BAI,16.4,107.7,1992,4,13,22.51666667,21.22,92.2,20.05323267,21.13741
4/14/1992,PHU BAI,16.4,107.7,1992,4,14,20.2,19.34,95.0,17.721702,18.52547
4/15/1992,PHU BAI,16.4,107.7,1992,4,15,20.16666667,18.21666667,88.66666667,17.67138167,18.60192
4/17/1992,PHU BAI,16.4,107.7,1992,4,17,24.94285714,22.17142857,85.71428571,22.47942286,27.16108
4/18/1992,PHU BAI,16.4,107.7,1992,4,18,28.4,22.78571429,73.71428571,25.92522143,31.21659
4/19/1992,PHU BAI,16.4,107.7,1992,4,19,28.88333333,22.3,70.2,26.39822333,30.81287
4/20/1992,PHU BAI,16.4,107.7,1992,4,20,30.06666667,23.16666667,70.0,27.58771667,35.37915
4/21/1992,PHU BAI,16.4,107.7,1992,4,21,32.78,22.74,56.8,30.278242,33.21377
4/22/1992,PHU BAI,16.4,107.7,1992,4,22,31.08571429,21.85714286,61.28571429,28.58061429,34.3928
4/23/1992,PHU BAI,16.4,107.7,1992,4,23,28.1,23.8,78.0,25.64254,27.75595
4/24/1992,PHU BAI,16.4,107.7,1992,4,24,28.81428571,23.98571429,76.42857143,26.35538143,31.13555
4/25/1992,PHU BAI,16.4,107.7,1992,4,25,27.86666667,24.06666667,80.5,25.41468667,28.43951
4/26/1992,PHU BAI,16.4,107.7,1992,4,26,27.6375,22.15,75.375,25.15757,31.89709
4/27/1992,PHU BAI,16.4,107.7,1992,4,27,27.56666667,21.23333333,71.5,25.07313667,31.10801
4/28/1992,PHU BAI,16.4,107.7,1992,4,28,29.35,22.275,69.75,26.8617075,33.77804
4/29/1992,PHU BAI,16.4,107.7,1992,4,29,30.6,23.4,66.66666667,28.12142,32.50879
4/30/1992,PHU BAI,16.4,107.7,1992,4,30,28.03333333,23.1,75.0,25.56556333,28.33246
5/1/1992,PHU BAI,16.4,107.7,1992,5,1,30.06666667,20.26666667,56.66666667,27.54334667,32.25644
5/2/1992,PHU BAI,16.4,107.7,1992,5,2,30.46666667,21.28333333,59.66666667,27.95650167,33.08683
5/3/1992,PHU BAI,16.4,107.7,1992,5,3,30.46666667,21.96666667,60.83333333,27.96695667,30.70735
5/4/1992,PHU BAI,16.4,107.7,1992,5,4,28.11428571,23.8,78.42857143,25.65674,29.53444
5/5/1992,PHU BAI,16.4,107.7,1992,5,5,27.64285714,23.86666667,80.66666667,25.18916,31.92004
5/6/1992,PHU BAI,16.4,107.7,1992,5,6,29.8625,22.125,64.875,27.3688375,32.88956
5/7/1992,PHU BAI,16.4,107.7,1992,5,7,31.56666667,22.8,62.0,29.07310667,34.58548
5/9/1992,PHU BAI,16.4,107.7,1992,5,9,32.475,23.05,60.5,29.979815,34.79193
5/12/1992,PHU BAI,16.4,107.7,1992,5,12,29.47142857,24.05714286,76.0,27.00967429,37.09496
5/13/1992,PHU BAI,16.4,107.7,1992,5,13,28.0375,24.125,80.625,25.5853875,29.54362
5/18/1992,PHU BAI,16.4,107.7,1992,5,18,30.85,22.82,62.2,28.361046,32.01179
5/19/1992,PHU BAI,16.4,107.7,1992,5,19,27.04285714,24.4,86.0,24.60092,27.06168
5/20/1992,PHU BAI,16.4,107.7,1992,5,20,27.4,23.65,77.83333333,24.944445,28.74689
5/21/1992,PHU BAI,16.4,107.7,1992,5,21,27.57142857,21.95714286,73.71428571,25.08894429,32.89415
5/22/1992,PHU BAI,16.4,107.7,1992,5,22,27.05,24.23333333,85.16666667,24.60547,28.35082
