YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,DEW_2,TMP_2,RH,AT mean,AT max
4/1/1992,LAO CAI,22.5,103.9666666,1992,4,1,19,24,73.63287365,21.4937,21.4937
4/2/1992,LAO CAI,22.5,103.9666666,1992,4,2,18.7,23.6,74.02618272,21.09151,21.09151
4/3/1992,LAO CAI,22.5,103.9666666,1992,4,3,20.05,21.35,92.30634653,18.875665,19.72592
4/4/1992,LAO CAI,22.5,103.9666666,1992,4,4,16.7,22.7,68.91065072,20.16631,20.16631
4/5/1992,LAO CAI,22.5,103.9666666,1992,4,5,18,28,54.58377661,25.4544,25.4544
4/6/1992,LAO CAI,22.5,103.9666666,1992,4,6,20.7,21.6,94.62623236,19.13411,19.13411
4/7/1992,LAO CAI,22.5,103.9666666,1992,4,7,18.7,19.6,94.54622238,17.11551,17.11551
4/8/1992,LAO CAI,22.5,103.9666666,1992,4,8,19.86666667,23.43333333,80.4061836,20.94369333,21.78731
4/10/1992,LAO CAI,22.5,103.9666666,1992,4,10,21.86666667,24.63333333,84.60859298,22.16709333,23.51536
4/11/1992,LAO CAI,22.5,103.9666666,1992,4,11,22.1,26.4,77.27244892,23.92673,26.30162
4/12/1992,LAO CAI,22.5,103.9666666,1992,4,12,15.9,22.9,64.69839598,20.35287,20.35287
4/13/1992,LAO CAI,22.5,103.9666666,1992,4,13,17,19.86666667,83.5591949,17.35456667,17.80366
4/14/1992,LAO CAI,22.5,103.9666666,1992,4,14,17.2,20.4,81.87793489,17.88776,18.47957
4/15/1992,LAO CAI,22.5,103.9666666,1992,4,15,16,19.6,79.71889533,17.0742,17.0742
4/17/1992,LAO CAI,22.5,103.9666666,1992,4,17,18.83333333,22.4,80.26857881,19.90075,23.86247
4/18/1992,LAO CAI,22.5,103.9666666,1992,4,18,19.3,25.6,68.18649284,23.08869,28.2529
4/19/1992,LAO CAI,22.5,103.9666666,1992,4,19,21.6,23.33333333,90.00295048,20.87081333,25.96063
4/20/1992,LAO CAI,22.5,103.9666666,1992,4,20,21.7,24.86666667,82.59243699,22.39647667,26.90261
4/21/1992,LAO CAI,22.5,103.9666666,1992,4,21,18.3,29.4,51.2830302,26.85059,32.95219
4/22/1992,LAO CAI,22.5,103.9666666,1992,4,22,21.8,24.86666667,83.09857779,22.39800667,25.51713
4/23/1992,LAO CAI,22.5,103.9666666,1992,4,23,23,24.4,91.91672355,21.9525,21.9525
4/24/1992,LAO CAI,22.5,103.9666666,1992,4,24,23.56666667,26.93333333,81.84345136,24.47930333,28.51902
4/25/1992,LAO CAI,22.5,103.9666666,1992,4,25,23.8,27.46666667,80.44509783,25.01300667,27.13354
4/26/1992,LAO CAI,22.5,103.9666666,1992,4,26,24.775,26.425,90.67046405,23.9925075,25.20368
4/27/1992,LAO CAI,22.5,103.9666666,1992,4,27,23.5,27.2,80.24887534,24.74335,26.73747
4/28/1992,LAO CAI,22.5,103.9666666,1992,4,28,23.35,28.8,72.44206987,26.331455,27.70699
4/29/1992,LAO CAI,22.5,103.9666666,1992,4,29,23.75,27.1,81.94596823,24.647775,25.54008
4/30/1992,LAO CAI,22.5,103.9666666,1992,4,30,22.6,34.6,49.80934094,32.08518,32.08518
5/1/1992,LAO CAI,22.5,103.9666666,1992,5,1,23.95,27.3,81.97025609,24.849635,27.14425
5/2/1992,LAO CAI,22.5,103.9666666,1992,5,2,22.75,26.9,78.05392787,24.433675,28.52055
5/3/1992,LAO CAI,22.5,103.9666666,1992,5,3,22.55,24.6,88.3788701,22.144415,24.54455
5/4/1992,LAO CAI,22.5,103.9666666,1992,5,4,23.9,26.4,86.16622281,23.95427,23.95427
5/5/1992,LAO CAI,22.5,103.9666666,1992,5,5,21.95,27.45,71.98648433,24.968135,28.70864
5/6/1992,LAO CAI,22.5,103.9666666,1992,5,6,23.1,30.85,63.41748009,28.36533,29.98248
5/7/1992,LAO CAI,22.5,103.9666666,1992,5,7,25.2,26.2,94.24125372,23.77536,23.77536
5/9/1992,LAO CAI,22.5,103.9666666,1992,5,9,24.03333333,29.8,71.24860835,27.33591,30.70888
5/12/1992,LAO CAI,22.5,103.9666666,1992,5,12,23.8,27,82.67693821,24.54914,25.93768
5/13/1992,LAO CAI,22.5,103.9666666,1992,5,13,24.35,27.4,83.47091745,24.955155,26.16249
5/15/1992,LAO CAI,22.5,103.9666666,1992,5,15,23.8,27,82.67693821,24.54914,24.54914
5/18/1992,LAO CAI,22.5,103.9666666,1992,5,18,20,27.8,62.56316091,25.2862,25.2862
5/19/1992,LAO CAI,22.5,103.9666666,1992,5,19,21.43333333,23.03333333,90.71961756,20.57006333,21.33621
5/20/1992,LAO CAI,22.5,103.9666666,1992,5,20,20.25,21.15,94.60838284,18.679925,18.93225
5/21/1992,LAO CAI,22.5,103.9666666,1992,5,21,19.86666667,23.66666667,79.28329877,21.17562667,23.2829
5/22/1992,LAO CAI,22.5,103.9666666,1992,5,22,22.1,23.25,93.26074127,20.79563,21.8531
5/23/1992,LAO CAI,22.5,103.9666666,1992,5,23,23.65,26.65,83.63801653,24.198945,26.54173
5/25/1992,LAO CAI,22.5,103.9666666,1992,5,25,22.9,28.96666667,69.82014972,26.49023667,28.11683
5/26/1992,LAO CAI,22.5,103.9666666,1992,5,26,24.175,26.05,89.43132956,23.6105775,24.76477
5/27/1992,LAO CAI,22.5,103.9666666,1992,5,27,24.5,25.4,94.77352242,22.96945,22.96945
5/28/1992,LAO CAI,22.5,103.9666666,1992,5,28,24.06666667,26.96666667,84.17732336,24.52008667,25.34434
5/29/1992,LAO CAI,22.5,103.9666666,1992,5,29,23.9,27.1,82.68865068,24.65007,24.65007
5/30/1992,LAO CAI,22.5,103.9666666,1992,5,30,25.025,30.5,72.62666891,28.0468825,33.49208
5/31/1992,LAO CAI,22.5,103.9666666,1992,5,31,23.2,33.9,53.70685315,31.39856,31.39856
6/1/1992,LAO CAI,22.5,103.9666666,1992,6,1,24.8,30.1,73.32058761,27.64584,28.73312
6/2/1992,LAO CAI,22.5,103.9666666,1992,6,2,25.6,26.6,94.25785775,24.17908,24.17908
6/3/1992,LAO CAI,22.5,103.9666666,1992,6,3,25.8,28.2,86.85030178,25.77254,27.17026
6/4/1992,LAO CAI,22.5,103.9666666,1992,6,4,23.55,26.95,81.68123982,24.495615,27.23753
6/5/1992,LAO CAI,22.5,103.9666666,1992,6,5,20.8,32.4,50.47208285,29.87084,29.87084
6/6/1992,LAO CAI,22.5,103.9666666,1992,6,6,23.4,29.83333333,68.45198016,27.35935333,30.9138
6/7/1992,LAO CAI,22.5,103.9666666,1992,6,7,24,24.5,97.0466268,22.0672,22.0672
6/8/1992,LAO CAI,22.5,103.9666666,1992,6,8,21.85,28.15,68.68279497,25.662405,29.87084
6/9/1992,LAO CAI,22.5,103.9666666,1992,6,9,22.725,27.3,76.12710714,24.8308925,30.16598
6/10/1992,LAO CAI,22.5,103.9666666,1992,6,10,23.33333333,29.03333333,71.39780167,26.56313333,30.50396
6/11/1992,LAO CAI,22.5,103.9666666,1992,6,11,24.36666667,29.8,72.68743334,27.34101,30.80981
6/12/1992,LAO CAI,22.5,103.9666666,1992,6,12,24.2,29.6,72.79848408,27.13966,27.13966
6/13/1992,LAO CAI,22.5,103.9666666,1992,6,13,24.625,29.15,76.6401534,26.6988625,30.218
6/14/1992,LAO CAI,22.5,103.9666666,1992,6,14,25.65,30,77.56987685,27.559445,30.33882
6/15/1992,LAO CAI,22.5,103.9666666,1992,6,15,25.05,32.6,64.55490549,30.134665,31.32364
6/16/1992,LAO CAI,22.5,103.9666666,1992,6,16,24.9,32.8,63.26317222,30.33117,30.33117
6/17/1992,LAO CAI,22.5,103.9666666,1992,6,17,24.83333333,25.93333333,93.66950935,23.50468333,23.77383
6/18/1992,LAO CAI,22.5,103.9666666,1992,6,18,24.15,25.65,91.43876239,23.212595,24.46045
6/19/1992,LAO CAI,22.5,103.9666666,1992,6,19,25.2,27.25,88.5929776,24.81906,25.96828
6/20/1992,LAO CAI,22.5,103.9666666,1992,6,20,24.63333333,28.4,80.08612576,25.95349,27.84464
6/22/1992,LAO CAI,22.5,103.9666666,1992,6,22,25.26666667,30.4,74.10271543,27.95118,30.52844
6/23/1992,LAO CAI,22.5,103.9666666,1992,6,23,26.65,29.25,85.92765925,26.829245,28.17191
6/24/1992,LAO CAI,22.5,103.9666666,1992,6,24,26.7,35,62.24705628,32.54551,32.54551
6/25/1992,LAO CAI,22.5,103.9666666,1992,6,25,25.3,33.6,61.94372773,31.13249,31.13249
6/26/1992,LAO CAI,22.5,103.9666666,1992,6,26,23.9,24.9,94.18679567,22.46327,22.46327
6/28/1992,LAO CAI,22.5,103.9666666,1992,6,28,12.7,30.2,34.20636077,27.56011,27.56011
6/29/1992,LAO CAI,22.5,103.9666666,1992,6,29,25.7,32.8,66.3467383,30.34341,30.34341
6/30/1992,LAO CAI,22.5,103.9666666,1992,6,30,24.7,25.7,94.22039828,23.27071,23.27071
7/1/1992,LAO CAI,22.5,103.9666666,1992,7,1,25.1,26.46666667,92.21845151,24.03889667,25.36882
7/2/1992,LAO CAI,22.5,103.9666666,1992,7,2,25.35,28.85,81.42772575,26.411755,27.45316
7/3/1992,LAO CAI,22.5,103.9666666,1992,7,3,25,25.8,95.35572756,23.3747,23.3747
7/4/1992,LAO CAI,22.5,103.9666666,1992,7,4,22.9,29.35,68.28980256,26.87127,29.2775
7/5/1992,LAO CAI,22.5,103.9666666,1992,7,5,23.5,31.6,62.25158298,29.11695,29.11695
7/6/1992,LAO CAI,22.5,103.9666666,1992,7,6,26.2,27.2,94.28263086,24.78466,24.78466
7/7/1992,LAO CAI,22.5,103.9666666,1992,7,7,22.85,25.4,85.80975528,22.944205,22.95568
7/8/1992,LAO CAI,22.5,103.9666666,1992,7,8,25.5,27.6,88.35805696,25.17155,25.17155
7/9/1992,LAO CAI,22.5,103.9666666,1992,7,9,23.2,30.35,65.65333113,27.86986,29.99625
7/10/1992,LAO CAI,22.5,103.9666666,1992,7,10,22.8,28.73333333,70.34306923,26.25677333,29.4763
7/11/1992,LAO CAI,22.5,103.9666666,1992,7,11,24.7,28.33333333,80.71820624,25.88824333,28.34317
7/12/1992,LAO CAI,22.5,103.9666666,1992,7,12,24.5,27.9,81.79775718,25.45445,27.73606
7/13/1992,LAO CAI,22.5,103.9666666,1992,7,13,25.4,26.1,95.93464615,23.67902,23.67902
7/14/1992,LAO CAI,22.5,103.9666666,1992,7,14,24.7,25.4,95.91382894,22.97251,22.97251
7/15/1992,LAO CAI,22.5,103.9666666,1992,7,15,24.8,26.8,88.82186645,24.36564,24.36564
7/16/1992,LAO CAI,22.5,103.9666666,1992,7,16,24.15,28.65,76.67938376,26.194595,29.31575
7/17/1992,LAO CAI,22.5,103.9666666,1992,7,17,25.1,25.8,95.92574388,23.37623,23.37623
7/18/1992,LAO CAI,22.5,103.9666666,1992,7,18,24.8,30.5,71.65826105,28.04344,28.04344
7/19/1992,LAO CAI,22.5,103.9666666,1992,7,19,25.55,30.9,73.23700274,28.452515,29.15979
7/20/1992,LAO CAI,22.5,103.9666666,1992,7,20,25.3,26.2,94.80376585,23.77689,23.77689
7/21/1992,LAO CAI,22.5,103.9666666,1992,7,21,26.3,27.35,94.01088317,24.93529,25.89948
7/22/1992,LAO CAI,22.5,103.9666666,1992,7,22,24.4,26.4,88.79047073,23.96192,23.96192
7/23/1992,LAO CAI,22.5,103.9666666,1992,7,23,24.9,32,66.18624782,29.53597,29.53597
7/24/1992,LAO CAI,22.5,103.9666666,1992,7,24,24.03333333,24.46666667,97.43531366,22.03457667,22.16507
7/25/1992,LAO CAI,22.5,103.9666666,1992,7,25,24.1,27,84.18092214,24.55373,25.74806
7/26/1992,LAO CAI,22.5,103.9666666,1992,7,26,23,28.2,73.44151925,25.7297,25.7297
7/27/1992,LAO CAI,22.5,103.9666666,1992,7,27,23.9,30.8,66.74179538,28.32787,28.32787
7/28/1992,LAO CAI,22.5,103.9666666,1992,7,28,23.95,26.4,86.42555595,23.955035,25.55079
7/30/1992,LAO CAI,22.5,103.9666666,1992,7,30,24.6,29.1,76.74726034,26.64878,27.733
7/31/1992,LAO CAI,22.5,103.9666666,1992,7,31,23.95,29.2,73.38877081,26.738235,30.6003
8/1/1992,LAO CAI,22.5,103.9666666,1992,8,1,25.8,32.1,69.43092682,29.64914,31.33282
8/2/1992,LAO CAI,22.5,103.9666666,1992,8,2,24.25,30.15,70.74362226,27.687125,28.51596
8/3/1992,LAO CAI,22.5,103.9666666,1992,8,3,24.55,30.1,72.23319346,27.642015,31.10648
8/4/1992,LAO CAI,22.5,103.9666666,1992,8,4,24.25,27.25,83.70468646,24.804525,27.44704
8/6/1992,LAO CAI,22.5,103.9666666,1992,8,6,23,24.2,93.02515572,21.7537,21.7537
8/7/1992,LAO CAI,22.5,103.9666666,1992,8,7,24.75,31.45,67.67550813,28.986975,30.82052
8/8/1992,LAO CAI,22.5,103.9666666,1992,8,8,25.7,30.5,75.60092944,28.05721,31.9231
8/9/1992,LAO CAI,22.5,103.9666666,1992,8,9,24.725,30.775,70.22478301,28.3156425,30.70429
8/10/1992,LAO CAI,22.5,103.9666666,1992,8,10,24.6,26.6,88.80618473,24.16378,24.16378
8/11/1992,LAO CAI,22.5,103.9666666,1992,8,11,23.66666667,29.46666667,71.04613142,26.99896667,30.8832
8/12/1992,LAO CAI,22.5,103.9666666,1992,8,12,23.85,29.3,72.52867026,26.836105,31.50561
8/13/1992,LAO CAI,22.5,103.9666666,1992,8,13,24.3,25.2,94.76592069,22.76759,22.76759
8/14/1992,LAO CAI,22.5,103.9666666,1992,8,14,24.05,26.65,85.67430898,24.205065,24.65313
8/15/1992,LAO CAI,22.5,103.9666666,1992,8,15,23.1,31.35,61.63564466,28.86233,31.48572
8/16/1992,LAO CAI,22.5,103.9666666,1992,8,16,22.8,23.3,97.0203305,20.85604,20.85604
