YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,TMP_2,DEW_2,RH,AT mean,AT max
1/1/1990,QUY NHON,13.77,109.22,1990,1,1,23.975,20.875,83.5,21.4975375,24.81062
1/2/1990,QUY NHON,13.77,109.22,1990,1,2,24.2,20.96,82.6,21.722488,24.21269
1/3/1990,QUY NHON,13.77,109.22,1990,1,3,24.7875,21.1,80.25,22.308605,23.72487
1/4/1990,QUY NHON,13.77,109.22,1990,1,4,25.07142857,20.52857143,76.14285714,22.58208714,24.30597
1/5/1990,QUY NHON,13.77,109.22,1990,1,5,24.11428571,20.18571429,79.14285714,21.62544143,24.2081
1/6/1990,QUY NHON,13.77,109.22,1990,1,6,21.18,19.28,89,18.694904,19.31455
1/7/1990,QUY NHON,13.77,109.22,1990,1,7,24.1875,20.275,79.125,21.6995825,24.71122
1/8/1990,QUY NHON,13.77,109.22,1990,1,8,24.18,20.34,79.6,21.693122,23.80438
1/9/1990,QUY NHON,13.77,109.22,1990,1,9,26.125,21.7,77.5,23.64726,25.92544
1/10/1990,QUY NHON,13.77,109.22,1990,1,10,24.7625,21.9,84.5,22.295995,24.52466
1/11/1990,QUY NHON,13.77,109.22,1990,1,11,25.3,22.45,84.5,22.838685,24.63936
1/12/1990,QUY NHON,13.77,109.22,1990,1,12,25.075,22.15,84,22.610445,24.93144
1/14/1990,QUY NHON,13.77,109.22,1990,1,14,27.2,23.4,80,24.74182,24.74182
1/15/1990,QUY NHON,13.77,109.22,1990,1,15,27.175,22.85,77.75,24.708555,27.02955
1/16/1990,QUY NHON,13.77,109.22,1990,1,16,23.825,21.925,89.5,21.3645025,24.32739
1/17/1990,QUY NHON,13.77,109.22,1990,1,17,23.76666667,21.83333333,89,21.30511667,22.73852
1/18/1990,QUY NHON,13.77,109.22,1990,1,18,24.67142857,21.8,85,22.20394,27.31857
1/19/1990,QUY NHON,13.77,109.22,1990,1,19,24.2875,21.5,85,21.817725,26.22364
1/20/1990,QUY NHON,13.77,109.22,1990,1,20,24.12,21.78,87.2,21.655514,24.03072
1/21/1990,QUY NHON,13.77,109.22,1990,1,21,23.38333333,20.53333333,84.33333333,20.90419333,23.21869
1/22/1990,QUY NHON,13.77,109.22,1990,1,22,24.2375,20.975,82.625,21.7599925,24.82592
1/23/1990,QUY NHON,13.77,109.22,1990,1,23,23.275,18.525,76,20.7657825,25.68227
1/24/1990,QUY NHON,13.77,109.22,1990,1,24,22.36666667,17.71666667,75.33333333,19.85053167,22.87765
1/25/1990,QUY NHON,13.77,109.22,1990,1,25,21.9,18.02857143,79,19.39143714,22.39748
1/26/1990,QUY NHON,13.77,109.22,1990,1,26,23.11666667,19.56666667,81,20.62433667,23.50465
1/27/1990,QUY NHON,13.77,109.22,1990,1,27,23.11428571,19.78571429,81.85714286,20.62532143,21.91884
1/28/1990,QUY NHON,13.77,109.22,1990,1,28,23.43333333,18.975,76.5,20.93005083,24.38701
1/29/1990,QUY NHON,13.77,109.22,1990,1,29,21.73333333,18.16666667,80.5,19.22788333,22.39748
1/30/1990,QUY NHON,13.77,109.22,1990,1,30,24.925,18.85,69.5,22.410855,23.994
1/31/1990,QUY NHON,13.77,109.22,1990,1,31,23.1125,18.9125,78.25,20.61018625,24.20198
2/1/1990,QUY NHON,13.77,109.22,1990,2,1,23.375,18.75,75.5,20.868625,22.58863
2/2/1990,QUY NHON,13.77,109.22,1990,2,2,24.175,19.1,73.5,21.66918,23.00459
2/3/1990,QUY NHON,13.77,109.22,1990,2,3,23.83333333,19.33333333,76.66666667,21.33313333,23.994
2/4/1990,QUY NHON,13.77,109.22,1990,2,4,22.96,19.1,80,20.46147,23.69121
2/5/1990,QUY NHON,13.77,109.22,1990,2,5,24.275,20.125,78,21.7842625,23.3135
2/6/1990,QUY NHON,13.77,109.22,1990,2,6,24.45,21.53333333,84.16666667,21.97976,23.73252
2/7/1990,QUY NHON,13.77,109.22,1990,2,7,24.825,21.825,83.75,22.3569725,24.7204
2/8/1990,QUY NHON,13.77,109.22,1990,2,8,24.66,21.06,81,22.181258,24.71734
2/9/1990,QUY NHON,13.77,109.22,1990,2,9,27.25,21.75,72,24.766275,25.31527
2/10/1990,QUY NHON,13.77,109.22,1990,2,10,26.975,21.725,73.5,24.4925425,26.12118
2/11/1990,QUY NHON,13.77,109.22,1990,2,11,25.66,22.9,85,23.20341,24.94062
2/12/1990,QUY NHON,13.77,109.22,1990,2,12,25.52,20.52,76.2,23.027836,24.9345
2/13/1990,QUY NHON,13.77,109.22,1990,2,13,26.05,22.25,80.5,23.581125,26.52337
2/14/1990,QUY NHON,13.77,109.22,1990,2,14,25.3,22.31666667,84.16666667,22.836645,26.53102
2/15/1990,QUY NHON,13.77,109.22,1990,2,15,26.5,22.425,78.75,24.0311025,26.8384
2/16/1990,QUY NHON,13.77,109.22,1990,2,16,25.9875,22.7875,83.125,23.52722375,27.13813
2/17/1990,QUY NHON,13.77,109.22,1990,2,17,26.84,24.88,89.4,24.406624,27.01736
2/18/1990,QUY NHON,13.77,109.22,1990,2,18,26.8,24.18571429,86,24.35624143,26.84911
2/19/1990,QUY NHON,13.77,109.22,1990,2,19,25.81428571,23.27142857,86.14285714,23.36245286,27.33999
2/20/1990,QUY NHON,13.77,109.22,1990,2,20,26.17142857,22.5,81.42857143,23.70565,26.83687
2/21/1990,QUY NHON,13.77,109.22,1990,2,21,25.85714286,22.98571429,84.71428571,23.40068143,26.35364
