Real_AT_NoiBai,Real_AT_LangSon,Real_AT_LaoCai,Real_AT_Vinh,Real_AT_PhuBai,Real_AT_QuyNhon,Real_AT_TPHCM,Real_AT_CaMau,Predicted_AT_NoiBai,Predicted_AT_LangSon,Predicted_AT_LaoCai,Predicted_AT_Vinh,Predicted_AT_PhuBai,Predicted_AT_QuyNhon,Predicted_AT_TPHCM,Predicted_AT_CaMau
33.54257,30.72112,30.53303,32.9324,36.49856,33.65574,31.56987,30.49784,33.943207,31.209332,30.627022,33.565098,36.62942,33.622276,31.868958,30.514238
34.49373,30.81134,27.54032,34.7216,35.52139,34.23684,32.5501,30.9673,34.645832,31.351114,27.794363,34.79264,35.64129,34.063015,32.744415,31.182476
35.48773,31.9078,26.27413,34.80876,35.51833,33.35907,32.5654,30.61254,35.22511,32.039623,26.71219,34.831245,35.431747,33.339916,32.640625,30.81367
34.5381,32.10507,30.22106,35.70642,35.00297,33.6435,33.5441,30.4321,34.49641,32.084023,30.284357,35.311115,35.029957,33.628616,33.243336,30.641699
34.5534,31.23342,33.31164,36.23861,35.09931,31.66774,29.58493,30.52385,34.145393,31.261723,32.89952,35.487404,35.003567,31.874983,29.788424,30.43461
30.5774,30.72112,28.54809,33.07005,33.53951,30.64467,28.5894,29.05733,31.022884,30.661482,28.817568,32.893597,33.63234,31.074364,28.82817,29.143118
32.5501,31.50561,29.5528,31.16768,27.57092,31.329760000000004,28.5741,28.02202,32.63026,31.38309,30.076283,31.445866,28.994335,31.690876,28.894531,28.278
31.5714,31.50561,31.01473,27.77278,26.57539,31.34812,31.5408,25.56303,32.808857,31.517994,30.14331,31.358854,28.691776,31.924292,28.878979,28.24011
26.5861,26.84146,25.78019,29.25307,30.54833,27.67032,28.5741,26.7543,26.922676,26.772467,26.215345,28.669834,30.118158,27.693607,28.628422,26.689304
30.5621,29.51149,28.73465,29.16132,31.527029999999996,28.564919999999997,28.5588,26.5249,30.468872,29.546835,29.144411,28.902122,31.377663,28.389797,28.815958,26.482761
29.5528,29.51149,29.72406,28.76066,31.030030000000004,28.15814,30.5468,27.62748,29.872297,29.638025,30.084951,28.711578,31.138527,28.245773,30.768564,27.766296
32.5348,30.70582,30.71806,29.26072,31.73348,29.55739,32.5348,28.63066,32.260914,31.017776,30.914831,29.195913,31.794424,29.689623,32.50206,28.629053
32.5501,30.49784,32.5195,31.55763,30.53303,29.55433,32.54857,27.34305,32.76024,30.878845,32.412445,31.452034,30.950148,29.73973,32.487926,27.512878
32.5501,30.33576,32.72289,30.75784,31.540800000000004,28.763720000000003,31.5408,28.32328,32.51975,30.453075,32.376114,31.193901,31.727383,29.064285,31.487736,28.264732
32.5501,30.92298,32.23507,30.26237,30.9444,29.16132,30.5468,28.92886,32.322166,30.773535,32.07533,30.708769,31.209715,29.401215,30.648409,28.841827
32.5501,30.91533,27.696279999999998,30.17368,31.144729999999996,29.55586,29.53903,27.03414,32.352665,30.82837,30.401814,30.667059,31.115574,29.410545,30.63151,28.798973
33.5441,31.86649,32.21365,31.05145,30.94593,30.539149999999996,31.5408,29.2393,33.28814,31.659418,32.433895,31.331615,31.331923,30.679594,31.602083,29.24774
33.5441,32.16163,33.69394,32.73972,32.50879,31.33894,30.5468,30.48866,33.26954,31.899536,33.101387,32.86206,32.78632,31.474045,30.508127,30.261164
28.5894,29.133780000000005,26.24965,34.15121,33.92181,32.54245,30.5468,28.832519999999995,29.243063,29.640722,26.484772,33.969193,33.98685,31.961014,30.459047,28.670654
31.55457,30.52385,28.54197,30.56363,33.4294,31.11107,30.53303,26.53255,31.841356,30.747957,28.952599,31.158186,33.652187,31.183575,30.441141,26.659618
