Model,Station,Day,R2 mean,MSE mean,RMSE mean,MAE mean,R2 max,MSE max,RMSE max,MAE max
LSTM,NOI BAI,1,"91,287","2,415","1,554","1,144","84,758","5,493","2,344","1,867"
LSTM,LANG SON,1,"90,588","3,26","1,805","1,317","81,806","7,785","2,79","2,179"
LSTM,LAO CAI,1,"90,549","2,597","1,612","1,256","81,725","6,534","2,556","2,038"
LSTM,VINH,1,"93,74","1,655","1,286","0,947","84,865","5,403","2,325","1,815"
LSTM,PHU BAI,1,"89,855","1,771","1,331","0,963","78,98","6,172","2,484","1,864"
LSTM,QUY NHON,1,"94,264","0,415","0,644","0,486","67,307","3,804","1,95","1,681"
LSTM,HCM,1,"68,725","0,593","0,77","0,598","51,482","1,559","1,249","0,986"
LSTM,CA MAU,1,"56,462","0,837","0,915","0,696","45,517","1,71","1,308","0,973"
BiLSTM,NOI BAI,1,"90,832","2,541","1,594","1,217","84,265","5,671","2,381","1,896"
BiLSTM,LANG SON,1,"90,14","3,414","1,848","1,356","81,477","7,926","2,815","2,19"
BiLSTM,LAO CAI,1,"90,18","2,698","1,643","1,282","81,025","6,785","2,605","2,069"
BiLSTM,VINH,1,"93,216","1,794","1,339","0,995","84,107","5,674","2,382","1,859"
BiLSTM,PHU BAI,1,"89,103","1,902","1,379","1,006","78,652","6,268","2,504","1,872"
BiLSTM,QUY NHON,1,"92,766","0,522","0,722","0,559","61,894","4,434","2,106","1,821"
BiLSTM,HCM,1,"66,074","0,643","0,802","0,648","50,516","1,59","1,261","1,021"
BiLSTM,CA MAU,1,"55,085","0,864","0,929","0,721","43,297","1,78","1,334","0,981"
GCN - LSTM,NOI BAI,1,91.5232,2.3493,1.5327,1.1526,84.4389,5.6086,2.3683,1.8495
GCN - LSTM,LANG SON,1,89.2053,3.7385,1.9335,1.4053,80.9042,8.1707,2.8584,2.1385
GCN - LSTM,LAO CAI,1,91.3655,2.3728,1.5404,1.1827,83.6896,5.832,2.415,1.8905
GCN - LSTM,VINH,1,94.3617,1.4908,1.221,0.9065,87.3539,4.5148,2.1248,1.5686
GCN - LSTM,PHU BAI,1,92.7648,1.2629,1.1238,0.8417,85.9621,4.1219,2.0302,1.5334
GCN - LSTM,QUY NHON,1,94.5469,0.3932,0.6272,0.4772,86.9442,1.5192,1.2325,0.9331
GCN - LSTM,HCM,1,68.0806,0.6054,0.7781,0.6119,50.7896,1.5817,1.2576,1.0039
GCN - LSTM,CA MAU,1,58.4931,0.798,0.8933,0.6862,44.572,1.7397,1.319,1.0118
GCN - BiLSTM,NOI BAI,1,91.3447,2.3988,1.5488,1.1543,84.439,5.6086,2.3683,1.8495
GCN - BiLSTM,LANG SON,1,89.1781,3.7479,1.936,1.4023,80.6087,8.2971,2.8805,2.1506
GCN - BiLSTM,LAO CAI,1,90.8855,2.5047,1.5826,1.1869,83.777,5.8008,2.4085,1.8796
GCN - BiLSTM,VINH,1,93.8819,1.6176,1.2719,0.9315,87.3646,4.511,2.1239,1.5748
GCN - BiLSTM,PHU BAI,1,92.4564,1.3167,1.1475,0.8561,86.1197,4.0756,2.0188,1.5241
GCN - BiLSTM,QUY NHON,1,94.1561,0.4216,0.6493,0.4961,86.7334,1.5437,1.2425,0.947
GCN - BiLSTM,HCM,1,68.1283,0.6045,0.7775,0.6088,50.437,1.593,1.2621,1.0107
GCN - BiLSTM,CA MAU,1,58.3186,0.8014,0.8952,0.684,44.5633,1.74,1.3191,0.9993
GCN - LSTM (Custom),NOI BAI,1,98.4013,0.4431,0.6656,0.3715,97.1083,1.0422,1.0209,0.5419
GCN - LSTM (Custom),LANG SON,1,97.8732,0.7366,0.8582,0.4356,96.6071,1.4517,1.2049,0.6127
GCN - LSTM (Custom),LAO CAI,1,98.6501,0.371,0.6091,0.3431,97.5423,0.8788,0.9374,0.5084
GCN - LSTM (Custom),VINH,1,99.0797,0.2433,0.4933,0.3027,98.1874,0.6471,0.8044,0.468
GCN - LSTM (Custom),PHU BAI,1,98.8128,0.2072,0.4552,0.2702,98.1451,0.5446,0.738,0.4265
GCN - LSTM (Custom),QUY NHON,1,99.1371,0.0623,0.2495,0.154,98.2442,0.2043,0.452,0.2582
GCN - LSTM (Custom),HCM,1,94.2309,0.1094,0.3308,0.1734,90.2718,0.3127,0.5592,0.275
GCN - LSTM (Custom),CA MAU,1,93.0102,0.1344,0.3666,0.194,90.4516,0.2997,0.5474,0.255
GCN - BiLSTM (Custom),NOI BAI,1,98.4616,0.4264,0.653,0.3789,97.1634,1.0224,1.0111,0.5437
GCN - BiLSTM (Custom),LANG SON,1,97.9224,0.7195,0.8482,0.4456,96.7582,1.3871,1.1778,0.5994
GCN - BiLSTM (Custom),LAO CAI,1,98.5506,0.3983,0.6311,0.3607,97.5141,0.8889,0.9428,0.5104
GCN - BiLSTM (Custom),VINH,1,99.0471,0.252,0.502,0.3184,98.2382,0.629,0.7931,0.4737
GCN - BiLSTM (Custom),PHU BAI,1,98.6891,0.2288,0.4783,0.2846,98.1803,0.5343,0.731,0.4235
GCN - BiLSTM (Custom),QUY NHON,1,99.1049,0.0646,0.2541,0.1568,97.8917,0.2453,0.4953,0.3025
GCN - BiLSTM (Custom),HCM,1,94.2284,0.1095,0.3309,0.1852,90.2103,0.3147,0.5609,0.2745
GCN - BiLSTM (Custom),CA MAU,1,92.7179,0.14,0.3742,0.1996,90.2259,0.3068,0.5539,0.2732
