Real_AT_NoiBai,Real_AT_LangSon,Real_AT_LaoCai,Real_AT_Vinh,Real_AT_PhuBai,Real_AT_QuyNhon,Real_AT_TPHCM,Real_AT_CaMau,Predicted_AT_NoiBai,Predicted_AT_LangSon,Predicted_AT_LaoCai,Predicted_AT_Vinh,Predicted_AT_PhuBai,Predicted_AT_QuyNhon,Predicted_AT_TPHCM,Predicted_AT_CaMau
33.54257,30.72112,30.53303,32.9324,36.49856,33.65574,31.56987,30.49784,33.456722,30.717798,30.27506,33.104916,36.146862,33.661545,31.807177,30.622616
34.49373,30.81134,27.54032,34.7216,35.52139,34.23684,32.5501,30.9673,34.13581,30.809418,27.640606,34.519302,35.351803,34.124203,32.560562,31.105452
35.48773,31.9078,26.27413,34.80876,35.51833,33.35907,32.5654,30.61254,34.80687,31.644285,26.757595,34.668816,35.18457,33.45171,32.566475,30.812616
34.5381,32.10507,30.22106,35.70642,35.00297,33.6435,33.5441,30.4321,34.238846,31.850218,30.196861,35.248943,34.822247,33.702583,32.97197,30.590557
34.5534,31.23342,33.31164,36.23861,35.09931,31.66774,29.58493,30.52385,33.955856,31.187113,32.807907,35.405323,34.712414,31.906855,29.653744,30.48705
30.5774,30.72112,28.54809,33.07005,33.53951,30.64467,28.5894,29.05733,31.120285,30.526928,28.712456,33.11357,33.19277,31.03559,28.87169,29.147259
32.5501,31.50561,29.5528,31.16768,27.57092,31.329760000000004,28.5741,28.02202,32.674248,31.159334,29.617004,31.649113,28.817944,31.668737,28.987139,28.471819
31.5714,31.50561,31.01473,27.77278,26.57539,31.34812,31.5408,25.56303,32.795708,31.281658,29.866417,31.417978,28.464493,31.759907,28.9464,28.368229
26.5861,26.84146,25.78019,29.25307,30.54833,27.67032,28.5741,26.7543,26.977705,26.975489,26.010895,28.926912,30.305504,27.658978,28.60035,26.555687
30.5621,29.51149,28.73465,29.16132,31.527029999999996,28.564919999999997,28.5588,26.5249,30.401428,29.440512,28.700472,28.949213,31.159115,28.344515,28.862503,26.55452
29.5528,29.51149,29.72406,28.76066,31.030030000000004,28.15814,30.5468,27.62748,29.80782,29.421865,29.647472,28.786049,30.882555,28.255207,30.674873,27.650154
32.5348,30.70582,30.71806,29.26072,31.73348,29.55739,32.5348,28.63066,32.24181,30.672129,30.602318,29.39881,31.568945,29.497835,32.32289,28.562191
32.5501,30.49784,32.5195,31.55763,30.53303,29.55433,32.54857,27.34305,32.512234,30.603405,32.374577,31.31105,30.750109,29.59243,32.27309,27.579903
32.5501,30.33576,32.72289,30.75784,31.540800000000004,28.763720000000003,31.5408,28.32328,32.600708,30.522388,32.5186,30.974388,31.483967,29.090734,31.438496,28.333126
32.5501,30.92298,32.23507,30.26237,30.9444,29.16132,30.5468,28.92886,32.468174,30.826944,32.161205,30.55566,31.082476,29.482426,30.586058,28.746855
32.5501,30.91533,27.696279999999998,30.17368,31.144729999999996,29.55586,29.53903,27.03414,32.458286,30.896492,31.772305,30.51908,31.021116,29.537863,30.49043,28.797113
33.5441,31.86649,32.21365,31.05145,30.94593,30.539149999999996,31.5408,29.2393,33.238754,31.658522,32.35873,31.302505,31.288116,30.97071,31.400892,29.335411
33.5441,32.16163,33.69394,32.73972,32.50879,31.33894,30.5468,30.48866,32.987473,31.687775,33.01294,32.783493,32.58657,31.747383,30.500206,30.312656
28.5894,29.133780000000005,26.24965,34.15121,33.92181,32.54245,30.5468,28.832519999999995,29.182016,29.34875,26.37994,33.633408,33.715244,32.59758,30.479784,28.802559
31.55457,30.52385,28.54197,30.56363,33.4294,31.11107,30.53303,26.53255,31.53109,30.309008,28.654303,30.986473,33.37376,31.451406,30.482544,26.88991
32.5654,28.73006,29.73324,32.54092,34.00897,31.79157,30.54833,30.38467,32.377228,29.13976,29.79861,32.531982,33.94285,31.9671,30.598076,29.960299
31.5561,30.92298,31.00249,32.51338,33.53186,32.03168,28.5741,26.18697,31.726149,30.560436,30.892015,32.571747,33.53546,32.11866,28.876547,26.50345
28.5894,25.05838,29.54362,30.53609,32.71983,31.01167,29.55433,28.33246,29.095219,25.89729,29.56256,30.724695,32.703613,31.23636,29.836441,28.499487
25.5921,25.062970000000004,30.22871,28.76525,29.546680000000002,31.419979999999995,27.5801,28.73618,28.574362,25.145437,29.268967,30.27781,32.48077,31.111637,29.905653,28.65248
33.5594,31.32517,34.46772,25.08439,32.5348,29.99778,30.5621,30.50549,33.38619,31.167212,33.706547,25.56832,32.455135,30.463333,30.396503,30.297817
32.5654,31.63102,28.03885,29.57116,32.50726,31.28692,29.5528,29.51149,32.52335,31.511007,28.5357,29.770714,32.718433,31.667114,29.60851,29.561274
32.5501,30.7303,31.0132,32.7336,35.50456,33.28257,30.5468,29.618540000000003,32.692814,30.861582,31.064411,32.622257,35.15147,33.68489,30.412182,29.586544
33.5594,31.785450000000004,32.23813,32.71677,36.4955,34.08236,30.5621,30.10636,33.347767,31.51436,32.141273,33.052505,36.013203,34.46729,30.26109,29.850641
33.5594,31.33894,33.22754,34.12214,35.5168,34.18635,28.57257,28.54809,33.280865,31.21982,32.892834,33.86982,35.31787,34.197952,28.668375,28.480663
33.56093,32.01179,32.23048,33.73372,36.51539,34.58701,29.5681,26.878180000000004,33.21198,31.570486,32.196045,33.509617,36.161476,34.479347,29.510048,26.971687
33.5594,32.92475,33.03333,32.14026,34.53351,34.08695,29.56657,25.38412,33.155777,32.1334,32.803593,32.098213,34.756546,33.40635,29.595837,25.921017
34.58247,32.33906,34.03804,32.61584,35.49691,33.69241,30.56057,29.210230000000003,33.167786,32.31748,32.933044,31.981358,32.916542,33.145744,29.601957,25.91211
28.6047,25.549259999999997,27.75901,31.16462,35.48926,33.98755,31.54233,29.1246,29.77906,26.871504,28.787159,31.617874,35.277153,34.001072,31.406425,28.996157
33.5594,31.61572,34.10837,32.12802,33.53798,33.89886,29.5528,25.46669,33.606716,31.708488,34.155476,32.33129,33.790062,33.712486,29.631084,25.974216
33.5747,32.10048,33.92334,34.31482,34.51362,33.48902,29.55433,28.92733,33.8311,32.230995,33.83452,34.007294,34.329292,33.3953,29.749674,28.75132
