YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,TMP_2,DEW_2,RH,AT mean,AT max
1/1/1990,NOI BAI,21.22,105.81,1990,1,1,14.5625,13.975,96.25,12.0359425,13.37804
1/2/1990,NOI BAI,21.22,105.81,1990,1,2,16.04285714,13.61428571,85.85714286,13.50189857,14.77117
1/3/1990,NOI BAI,21.22,105.81,1990,1,3,16.8125,13.7125,82.25,14.26842625,15.66118
1/4/1990,NOI BAI,21.22,105.81,1990,1,4,16.3,14.22857143,88,13.76689714,16.9595
1/5/1990,NOI BAI,21.22,105.81,1990,1,5,16.77142857,15.8,94.14285714,14.25954,15.48992
1/6/1990,NOI BAI,21.22,105.81,1990,1,6,16.73333333,15.35555556,91.55555556,14.21487333,15.19478
1/7/1990,NOI BAI,21.22,105.81,1990,1,7,17.05,16.4125,95.875,14.54581125,14.99904
1/8/1990,NOI BAI,21.22,105.81,1990,1,8,20.05,18.05,88.875,17.552865,21.19397
1/9/1990,NOI BAI,21.22,105.81,1990,1,9,21.92,19.86,88.2,19.439338,20.82085
1/10/1990,NOI BAI,21.22,105.81,1990,1,10,21.9375,19.875,88.5,19.4569625,22.21092
1/11/1990,NOI BAI,21.22,105.81,1990,1,11,21.13333333,19.24,89.6,18.64790533,19.2228
1/12/1990,NOI BAI,21.22,105.81,1990,1,12,19.86,18.16,90,17.365688,17.80825
1/13/1990,NOI BAI,21.22,105.81,1990,1,13,18.1,17.6,97,15.60768,15.60768
1/14/1990,NOI BAI,21.22,105.81,1990,1,14,25.3,21,77,22.8165,22.8165
1/15/1990,NOI BAI,21.22,105.81,1990,1,15,19.125,14.05,72.75,16.572215,21.4402
1/16/1990,NOI BAI,21.22,105.81,1990,1,16,16.35,9.85,65.83333333,13.749605,15.2085
1/17/1990,NOI BAI,21.22,105.81,1990,1,17,15.75,12.1,79,13.18763,14.9562
1/18/1990,NOI BAI,21.22,105.81,1990,1,18,16.82,14.56,86.8,14.288848,15.17795
1/19/1990,NOI BAI,21.22,105.81,1990,1,19,17.2625,12.625,74.375,14.6990875,16.13676
1/20/1990,NOI BAI,21.22,105.81,1990,1,20,13.5,9.416666667,76.5,10.910075,12.22344
1/21/1990,NOI BAI,21.22,105.81,1990,1,21,12.95714286,7.8,71.14285714,10.34574,11.90841
1/22/1990,NOI BAI,21.22,105.81,1990,1,22,13.75,8.775,72.375,11.1487575,12.51552
1/23/1990,NOI BAI,21.22,105.81,1990,1,23,14.36666667,6.183333333,58.83333333,11.72207167,14.29401
1/24/1990,NOI BAI,21.22,105.81,1990,1,24,14.96666667,7.333333333,60.66666667,12.33606667,13.89641
1/25/1990,NOI BAI,21.22,105.81,1990,1,25,17.11428571,9.357142857,62.28571429,14.50176429,22.28273
1/26/1990,NOI BAI,21.22,105.81,1990,1,26,17.425,12.125,72.125,14.8529625,17.13535
