YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,TMP_2,DEW_2,RH,AT mean,AT max
1/4/1992,VINH,18.74,105.67,1992,4,1,19.78333333,19.26666667,96.83333333,17.30641333,17.72568
2/4/1992,VINH,18.74,105.67,1992,4,2,20.88333333,19.15,90.16666667,18.39802833,20.40948
3/4/1992,VINH,18.74,105.67,1992,4,3,21.38333333,19.91666667,91.5,18.90675833,20.61746
4/4/1992,VINH,18.74,105.67,1992,4,4,22.12857143,20.37142857,90.14285714,19.65448286,21.92037
5/4/1992,VINH,18.74,105.67,1992,4,5,22.925,21.4125,91.625,20.46206125,24.63171
6/4/1992,VINH,18.74,105.67,1992,4,6,23.74285714,22.2,91.42857143,21.28706,23.93285
7/4/1992,VINH,18.74,105.67,1992,4,7,23.58333333,22.01666667,91.0,21.12568833,22.84098
8/4/1992,VINH,18.74,105.67,1992,4,8,23.5125,21.975,91.125,21.0546425,23.74935
10/4/1992,VINH,18.74,105.67,1992,4,10,24.425,22.8625,91.25,21.97524625,24.63936
11/4/1992,VINH,18.74,105.67,1992,4,11,23.325,22.3,94.0,20.87324,23.14989
12/4/1992,VINH,18.74,105.67,1992,4,12,22.88571429,19.47142857,81.71428571,20.39331286,22.90519
13/04/1992,VINH,18.74,105.67,1992,4,13,20.14285714,18.5,90.57142857,17.65205,18.53006
14/04/1992,VINH,18.74,105.67,1992,4,14,20.1375,16.95,82.25,17.62301,19.29007
15/04/1992,VINH,18.74,105.67,1992,4,15,20.36,15.92,76.2,17.828416,18.88023
17/04/1992,VINH,18.74,105.67,1992,4,17,22.72222222,19.84444444,84.55555556,20.23650889,24.11941
18/04/1992,VINH,18.74,105.67,1992,4,18,27.12857143,23.22857143,80.28571429,24.66819714,30.71653
19/04/1992,VINH,18.74,105.67,1992,4,19,29.3625,24.0625,74.875,26.90148125,34.31635
20/04/1992,VINH,18.74,105.67,1992,4,20,28.575,24.08571429,77.85714286,26.11906143,30.34494
21/04/1992,VINH,18.74,105.67,1992,4,21,31.7,23.52857143,63.28571429,29.21678714,35.20177
22/04/1992,VINH,18.74,105.67,1992,4,22,26.6,24.02857143,85.85714286,24.15503714,26.05697
23/04/1992,VINH,18.74,105.67,1992,4,23,25.05714286,23.38571429,90.57142857,22.61160143,25.05379
24/04/1992,VINH,18.74,105.67,1992,4,24,26.2125,24.6875,91.5,23.77994375,26.55856
25/04/1992,VINH,18.74,105.67,1992,4,25,26.4875,24.675,90.125,24.0531025,27.06015
26/04/1992,VINH,18.74,105.67,1992,4,26,26.32857143,24.61666667,90.0,23.894235,26.1579
27/04/1992,VINH,18.74,105.67,1992,4,27,26.18571429,24.17142857,89.0,23.74542286,27.08463
28/04/1992,VINH,18.74,105.67,1992,4,28,26.54285714,24.2,87.42857143,24.10086,27.34458
29/04/1992,VINH,18.74,105.67,1992,4,29,26.47142857,24.02857143,87.0,24.02723714,27.06015
30/04/1992,VINH,18.74,105.67,1992,4,30,26.38888889,24.03333333,87.22222222,23.94526556,26.5555
1/5/1992,VINH,18.74,105.67,1992,5,1,28.01428571,24.16666667,81.16666667,25.56295,28.75148
2/5/1992,VINH,18.74,105.67,1992,5,2,28.075,24.5375,81.875,25.62897375,30.14002
3/5/1992,VINH,18.74,105.67,1992,5,3,27.625,23.9375,81.25,25.17249375,28.15202
4/5/1992,VINH,18.74,105.67,1992,5,4,27.46666667,23.71666667,81.0,25.01173167,28.14437
5/5/1992,VINH,18.74,105.67,1992,5,5,26.95,24.5875,87.25,24.51148875,27.45775
6/5/1992,VINH,18.74,105.67,1992,5,6,28.07142857,24.24285714,80.57142857,25.62091571,28.55421
7/5/1992,VINH,18.74,105.67,1992,5,7,30.67142857,23.4,68.28571429,28.19242,35.69418
9/5/1992,VINH,18.74,105.67,1992,5,9,29.66666667,24.16666667,73.0,27.20541667,29.14602
12/5/1992,VINH,18.74,105.67,1992,5,12,26.67142857,23.58571429,83.57142857,24.21926143,26.74818
13/05/1992,VINH,18.74,105.67,1992,5,13,27.125,24.775,87.625,24.6883075,27.35376
18/05/1992,VINH,18.74,105.67,1992,5,18,27.61428571,23.98571429,80.85714286,25.16258142,27.34611
19/05/1992,VINH,18.74,105.67,1992,5,19,25.66666667,24.11666667,91.33333333,23.22865167,24.6669
20/05/1992,VINH,18.74,105.67,1992,5,20,25.86666667,24.21666667,90.83333333,23.42898167,25.67467
21/05/1992,VINH,18.74,105.67,1992,5,21,26.0875,24.225,89.625,23.6486175,24.67302
22/05/1992,VINH,18.74,105.67,1992,5,22,27.3,25.17142857,88.57142857,24.86832286,28.26672
23/05/1992,VINH,18.74,105.67,1992,5,23,27.77142857,25.54285714,88.0,25.34260571,27.56633
25/05/1992,VINH,18.74,105.67,1992,5,25,28.0125,24.35714286,79.28571429,25.56408929,28.74842
26/05/1992,VINH,18.74,105.67,1992,5,26,27.3375,25.075,88.0,24.9041225,27.76207
27/05/1992,VINH,18.74,105.67,1992,5,27,25.775,24.3625,92.375,23.34009625,27.35376
