Real_AT_NoiBai,Real_AT_LangSon,Real_AT_LaoCai,Real_AT_Vinh,Real_AT_PhuBai,Real_AT_QuyNhon,Real_AT_TPHCM,Real_AT_CaMau,Predicted_AT_NoiBai,Predicted_AT_LangSon,Predicted_AT_LaoCai,Predicted_AT_Vinh,Predicted_AT_PhuBai,Predicted_AT_QuyNhon,Predicted_AT_TPHCM,Predicted_AT_CaMau
33.54257,30.72112,30.53303,32.9324,36.49856,33.65574,31.56987,30.49784,32.1839,29.197168,31.650555,32.987118,34.654224,33.76191,31.816635,30.155012
34.49373,30.81134,27.54032,34.7216,35.52139,34.23684,32.5501,30.9673,32.520412,29.76504,30.930729,32.637775,34.639114,33.14491,31.523468,29.85601
35.48773,31.9078,26.27413,34.80876,35.51833,33.35907,32.5654,30.61254,32.890156,29.851168,29.61948,33.351593,34.378735,33.318386,31.841211,30.224031
34.5381,32.10507,30.22106,35.70642,35.00297,33.6435,33.5441,30.4321,33.285225,30.300066,28.933737,33.415607,34.37986,32.999763,31.97548,30.180225
34.5534,31.23342,33.31164,36.23861,35.09931,31.66774,29.58493,30.52385,33.285458,30.704565,30.769073,34.00596,34.37531,33.233463,32.36516,30.23543
30.5774,30.72112,28.54809,33.07005,33.53951,30.64467,28.5894,29.05733,33.291367,30.341347,31.861366,34.17231,34.329758,32.38535,31.067453,29.6195
32.5501,31.50561,29.5528,31.16768,27.57092,31.329760000000004,28.5741,28.02202,30.83462,29.128637,29.06528,32.11181,32.981487,31.3354,30.123714,29.130823
31.5714,31.50561,31.01473,27.77278,26.57539,31.34812,31.5408,25.56303,31.978844,29.81117,29.837643,31.746082,30.675905,31.39857,29.729912,28.677652
26.5861,26.84146,25.78019,29.25307,30.54833,27.67032,28.5741,26.7543,31.551836,29.799273,30.19688,30.24365,30.21634,31.300608,30.546726,27.824028
30.5621,29.51149,28.73465,29.16132,31.527029999999996,28.564919999999997,28.5588,26.5249,29.040695,27.46884,27.526314,30.395845,31.62223,29.496279,29.483301,27.651402
29.5528,29.51149,29.72406,28.76066,31.030030000000004,28.15814,30.5468,27.62748,31.317272,29.430578,29.481186,30.760046,32.124306,29.640175,29.380331,27.495502
32.5348,30.70582,30.71806,29.26072,31.73348,29.55739,32.5348,28.63066,30.460512,29.019485,29.455706,30.270163,31.725094,29.656754,30.187115,28.172392
32.5501,30.49784,32.5195,31.55763,30.53303,29.55433,32.54857,27.34305,32.134106,30.085909,30.481031,30.785591,32.355328,30.42783,31.163761,28.817173
32.5501,30.33576,32.72289,30.75784,31.540800000000004,28.763720000000003,31.5408,28.32328,31.954103,29.801775,31.072134,31.536182,31.594254,30.61058,31.265903,28.165306
32.5501,30.92298,32.23507,30.26237,30.9444,29.16132,30.5468,28.92886,31.6928,29.462503,31.011093,30.933939,31.821224,30.136822,31.184935,28.30813
32.5501,30.91533,27.696279999999998,30.17368,31.144729999999996,29.55586,29.53903,27.03414,31.664621,29.662886,30.909405,30.685492,31.454597,30.226297,30.895885,28.458632
33.5441,31.86649,32.21365,31.05145,30.94593,30.539149999999996,31.5408,29.2393,31.394947,29.410208,28.838207,30.37683,31.313375,30.260279,30.181187,27.678387
33.5441,32.16163,33.69394,32.73972,32.50879,31.33894,30.5468,30.48866,32.599857,30.691233,31.427025,31.432247,31.791094,31.019663,30.953735,28.815985
